Categoria,Famiglia,Id Elemento,Stato
Pilastri,BR-PI-Piastra-01,572030,1
Pilastri,BR-TI-Tirafondo-01,572031,1
Pilastri,BR-AL-Allettamento-01,572032,1
Pilastri,BR-PI-Piastra-01,572033,1
Pilastri,BR-TI-Tirafondo-01,572034,1
Pilastri,BR-AL-Allettamento-01,572035,1
Pilastri,BR-PI-Piastra-01,572036,1
Pilastri,BR-TI-Tirafondo-01,572037,1
Pilastri,BR-AL-Allettamento-01,572038,1
Pilastri,BR-PI-Piastra-01,572039,1
Pilastri,BR-TI-Tirafondo-01,572040,1
Pilastri,BR-AL-Allettamento-01,572041,1
Pilastri,BR-PI-Piastra-01,572042,1
Pilastri,BR-TI-Tirafondo-01,572043,1
Pilastri,BR-AL-Allettamento-01,572044,1
Pilastri,BR-PI-Piastra-01,572045,1
Pilastri,BR-TI-Tirafondo-01,572046,1
Pilastri,BR-AL-Allettamento-01,572047,1
Pilastri,BR-PI-Piastra-01,572048,1
Pilastri,BR-TI-Tirafondo-01,572049,1
Pilastri,BR-AL-Allettamento-01,572050,1
Pilastri,BR-PI-Piastra-01,572051,1
Pilastri,BR-TI-Tirafondo-01,572052,1
Pilastri,BR-AL-Allettamento-01,572053,1
Pilastri,BR-PI-Piastra-01,572054,1
Pilastri,BR-TI-Tirafondo-01,572055,1
Pilastri,BR-AL-Allettamento-01,572056,1
Pilastri,BR-PI-Piastra-01,572057,1
Pilastri,BR-TI-Tirafondo-01,572058,1
Pilastri,BR-AL-Allettamento-01,572059,1
Pilastri,BR-PI-Piastra-01,572060,1
Pilastri,BR-TI-Tirafondo-01,572061,1
Pilastri,BR-AL-Allettamento-01,572062,1
Pilastri,BR-PI-Piastra-01,572063,1
Pilastri,BR-TI-Tirafondo-01,572064,1
Pilastri,BR-AL-Allettamento-01,572065,1
Pilastri,BR-PI-Piastra-01,572066,1
Pilastri,BR-TI-Tirafondo-01,572067,1
Pilastri,BR-AL-Allettamento-01,572068,1
Pilastri,BR-PI-Piastra-01,572069,1
Pilastri,BR-TI-Tirafondo-01,572070,1
Pilastri,BR-AL-Allettamento-01,572071,1
Pilastri,BR-PI-Piastra-01,572072,1
Pilastri,BR-TI-Tirafondo-01,572073,1
Pilastri,BR-AL-Allettamento-01,572074,1
Pilastri,BR-PI-Piastra-01,572075,1
Pilastri,BR-TI-Tirafondo-01,572076,1
Pilastri,BR-AL-Allettamento-01,572077,1
Pilastri,BR-PI-Piastra-01,572078,1
Pilastri,BR-TI-Tirafondo-01,572079,1
Pilastri,BR-AL-Allettamento-01,572080,1
Pilastri,BR-PI-Piastra-01,572081,1
Pilastri,BR-TI-Tirafondo-01,572082,1
Pilastri,BR-AL-Allettamento-01,572083,1
Pilastri,BR-PI-Piastra-01,572084,1
Pilastri,BR-TI-Tirafondo-01,572085,1
Pilastri,BR-AL-Allettamento-01,572086,1
Pilastri,BR-PI-Piastra-01,572087,1
Pilastri,BR-TI-Tirafondo-01,572088,1
Pilastri,BR-AL-Allettamento-01,572089,1
Pilastri,BR-PI-Piastra-01,572090,1
Pilastri,BR-TI-Tirafondo-01,572091,1
Pilastri,BR-AL-Allettamento-01,572092,1
Pilastri,BR-PI-Piastra-01,572093,1
Pilastri,BR-TI-Tirafondo-01,572094,1
Pilastri,BR-AL-Allettamento-01,572095,1
Pilastri,BR-PI-Piastra-01,572096,1
Pilastri,BR-TI-Tirafondo-01,572097,1
Pilastri,BR-AL-Allettamento-01,572098,1
Pilastri,BR-PI-Piastra-01,572099,1
Pilastri,BR-TI-Tirafondo-01,572100,1
Pilastri,BR-AL-Allettamento-01,572101,1
Pilastri,BR-PI-Piastra-01,572102,1
Pilastri,BR-TI-Tirafondo-01,572103,1
Pilastri,BR-AL-Allettamento-01,572104,1
Pilastri,BR-PI-Piastra-01,572105,1
Pilastri,BR-TI-Tirafondo-01,572106,1
Pilastri,BR-AL-Allettamento-01,572107,1
Pilastri,BR-PI-Piastra-01,572108,1
Pilastri,BR-TI-Tirafondo-01,572109,1
Pilastri,BR-AL-Allettamento-01,572110,1
Pilastri,BR-PI-Piastra-01,572111,1
Pilastri,BR-TI-Tirafondo-01,572112,1
Pilastri,BR-AL-Allettamento-01,572113,1
Pilastri,BR-PI-Piastra-01,572114,1
Pilastri,BR-TI-Tirafondo-01,572115,1
Pilastri,BR-AL-Allettamento-01,572116,1
Pilastri,BR-PI-Piastra-01,572117,1
Pilastri,BR-TI-Tirafondo-01,572118,1
Pilastri,BR-AL-Allettamento-01,572119,1
Pilastri,BR-PI-Piastra-01,572120,1
Pilastri,BR-TI-Tirafondo-01,572121,1
Pilastri,BR-AL-Allettamento-01,572122,1
Pilastri,BR-PI-Piastra-01,572123,1
Pilastri,BR-TI-Tirafondo-01,572124,1
Pilastri,BR-AL-Allettamento-01,572125,1
Pilastri,BR-PI-Piastra-01,572126,1
Pilastri,BR-TI-Tirafondo-01,572127,1
Pilastri,BR-AL-Allettamento-01,572128,1
Pilastri,BR-PI-Piastra-01,572129,1
Pilastri,BR-TI-Tirafondo-01,572130,1
Pilastri,BR-AL-Allettamento-01,572131,1
Pilastri,BR-PI-Piastra-01,572132,1
Pilastri,BR-TI-Tirafondo-01,572133,1
Pilastri,BR-AL-Allettamento-01,572134,1
Pilastri,BR-PI-Piastra-01,572135,1
Pilastri,BR-TI-Tirafondo-01,572136,1
Pilastri,BR-AL-Allettamento-01,572137,1
Pilastri,BR-PI-Piastra-01,572138,1
Pilastri,BR-TI-Tirafondo-01,572139,1
Pilastri,BR-AL-Allettamento-01,572140,1
Pilastri,BR-PI-Piastra-01,572141,1
Pilastri,BR-TI-Tirafondo-01,572142,1
Pilastri,BR-AL-Allettamento-01,572143,1
Pilastri,BR-PI-Piastra-01,572144,1
Pilastri,BR-TI-Tirafondo-01,572145,1
Pilastri,BR-AL-Allettamento-01,572146,1
Pilastri,BR-PI-Piastra-01,572147,1
Pilastri,BR-TI-Tirafondo-01,572148,1
Pilastri,BR-AL-Allettamento-01,572149,1
Pilastri,BR-PI-Piastra-01,572150,1
Pilastri,BR-TI-Tirafondo-01,572151,1
Pilastri,BR-AL-Allettamento-01,572152,1
Pilastri,BR-PI-Piastra-01,572153,1
Pilastri,BR-TI-Tirafondo-01,572154,1
Pilastri,BR-AL-Allettamento-01,572155,1
Pilastri,BR-PI-Piastra-01,572156,1
Pilastri,BR-TI-Tirafondo-01,572157,1
Pilastri,BR-AL-Allettamento-01,572158,1
Pilastri,BR-PI-Piastra-01,572159,1
Pilastri,BR-TI-Tirafondo-01,572160,1
Pilastri,BR-AL-Allettamento-01,572161,1
Pilastri,BR-PI-Piastra-01,572162,1
Pilastri,BR-TI-Tirafondo-01,572163,1
Pilastri,BR-AL-Allettamento-01,572164,1
Pilastri,BR-PI-Piastra-01,572165,1
Pilastri,BR-TI-Tirafondo-01,572166,1
Pilastri,BR-AL-Allettamento-01,572167,1
Pilastri,BR-PI-Piastra-01,572168,1
Pilastri,BR-TI-Tirafondo-01,572169,1
Pilastri,BR-AL-Allettamento-01,572170,1
Pilastri,BR-PI-Piastra-01,572171,1
Pilastri,BR-TI-Tirafondo-01,572172,1
Pilastri,BR-AL-Allettamento-01,572173,1
Pilastri,BR-PI-Piastra-01,572174,1
Pilastri,BR-TI-Tirafondo-01,572175,1
Pilastri,BR-AL-Allettamento-01,572176,1
Pilastri,BR-PI-Piastra-01,572177,1
Pilastri,BR-TI-Tirafondo-01,572178,1
Pilastri,BR-AL-Allettamento-01,572179,1
Pilastri,BR-PI-Piastra-01,572180,1
Pilastri,BR-TI-Tirafondo-01,572181,1
Pilastri,BR-AL-Allettamento-01,572182,1
Pilastri,BR-PI-Piastra-01,572183,1
Pilastri,BR-TI-Tirafondo-01,572184,1
Pilastri,BR-AL-Allettamento-01,572185,1
Pilastri,BR-PI-Piastra-01,572186,1
Pilastri,BR-TI-Tirafondo-01,572187,1
Pilastri,BR-AL-Allettamento-01,572188,1
Pilastri,BR-MN-Montante-01,572408,1
Pilastri,BR-PI-Piastra-01,596211,1
Pilastri,BR-TI-Tirafondo-01,596212,1
Pilastri,BR-AL-Allettamento-01,596213,1
Pilastri,BR-PI-Piastra-01,596214,1
Pilastri,BR-TI-Tirafondo-01,596215,1
Pilastri,BR-AL-Allettamento-01,596216,1
Pilastri,BR-PI-Piastra-01,596217,1
Pilastri,BR-TI-Tirafondo-01,596218,1
Pilastri,BR-AL-Allettamento-01,596219,1
Pilastri,BR-PI-Piastra-01,596220,1
Pilastri,BR-TI-Tirafondo-01,596221,1
Pilastri,BR-AL-Allettamento-01,596222,1
Pilastri,BR-PI-Piastra-01,596223,1
Pilastri,BR-TI-Tirafondo-01,596224,1
Pilastri,BR-AL-Allettamento-01,596225,1
Pilastri,BR-PI-Piastra-01,596226,1
Pilastri,BR-TI-Tirafondo-01,596227,1
Pilastri,BR-AL-Allettamento-01,596228,1
Pilastri,BR-PI-Piastra-01,596229,1
Pilastri,BR-TI-Tirafondo-01,596230,1
Pilastri,BR-AL-Allettamento-01,596231,1
Pilastri,BR-PI-Piastra-01,596232,1
Pilastri,BR-TI-Tirafondo-01,596233,1
Pilastri,BR-AL-Allettamento-01,596234,1
Pilastri,BR-PI-Piastra-01,596235,1
Pilastri,BR-TI-Tirafondo-01,596236,1
Pilastri,BR-AL-Allettamento-01,596237,1
Pilastri,BR-PI-Piastra-01,596238,1
Pilastri,BR-TI-Tirafondo-01,596239,1
Pilastri,BR-AL-Allettamento-01,596240,1
Pilastri,BR-PI-Piastra-01,596241,1
Pilastri,BR-TI-Tirafondo-01,596242,1
Pilastri,BR-AL-Allettamento-01,596243,1
Pilastri,BR-PI-Piastra-01,596244,1
Pilastri,BR-TI-Tirafondo-01,596245,1
Pilastri,BR-AL-Allettamento-01,596246,1
Pilastri,BR-PI-Piastra-01,596247,1
Pilastri,BR-TI-Tirafondo-01,596248,1
Pilastri,BR-AL-Allettamento-01,596249,1
Pilastri,BR-PI-Piastra-01,596250,1
Pilastri,BR-TI-Tirafondo-01,596251,1
Pilastri,BR-AL-Allettamento-01,596252,1
Pilastri,BR-PI-Piastra-01,596253,1
Pilastri,BR-TI-Tirafondo-01,596254,1
Pilastri,BR-AL-Allettamento-01,596255,1
Pilastri,BR-PI-Piastra-01,596256,1
Pilastri,BR-TI-Tirafondo-01,596257,1
Pilastri,BR-AL-Allettamento-01,596258,1
Pilastri,BR-PI-Piastra-01,596259,1
Pilastri,BR-TI-Tirafondo-01,596260,1
Pilastri,BR-AL-Allettamento-01,596261,1
Pilastri,BR-PI-Piastra-01,596262,1
Pilastri,BR-TI-Tirafondo-01,596263,1
Pilastri,BR-AL-Allettamento-01,596264,1
Pilastri,BR-PI-Piastra-01,596265,1
Pilastri,BR-TI-Tirafondo-01,596266,1
Pilastri,BR-AL-Allettamento-01,596267,1
Pilastri,BR-PI-Piastra-01,596268,1
Pilastri,BR-TI-Tirafondo-01,596269,1
Pilastri,BR-AL-Allettamento-01,596270,1
Pilastri,BR-PI-Piastra-01,596271,1
Pilastri,BR-TI-Tirafondo-01,596272,1
Pilastri,BR-AL-Allettamento-01,596273,1
Pilastri,BR-PI-Piastra-01,596274,1
Pilastri,BR-TI-Tirafondo-01,596275,1
Pilastri,BR-AL-Allettamento-01,596276,1
Pilastri,BR-PI-Piastra-01,596277,1
Pilastri,BR-TI-Tirafondo-01,596278,1
Pilastri,BR-AL-Allettamento-01,596279,1
Pilastri,BR-PI-Piastra-01,596280,1
Pilastri,BR-TI-Tirafondo-01,596281,1
Pilastri,BR-AL-Allettamento-01,596282,1
Pilastri,BR-PI-Piastra-01,596283,1
Pilastri,BR-TI-Tirafondo-01,596284,1
Pilastri,BR-AL-Allettamento-01,596285,1
Pilastri,BR-PI-Piastra-01,596286,1
Pilastri,BR-TI-Tirafondo-01,596287,1
Pilastri,BR-AL-Allettamento-01,596288,1
Pilastri,BR-PI-Piastra-01,596289,1
Pilastri,BR-TI-Tirafondo-01,596290,1
Pilastri,BR-AL-Allettamento-01,596291,1
Pilastri,BR-PI-Piastra-01,596292,1
Pilastri,BR-TI-Tirafondo-01,596293,1
Pilastri,BR-AL-Allettamento-01,596294,1
Pilastri,BR-PI-Piastra-01,596295,1
Pilastri,BR-TI-Tirafondo-01,596296,1
Pilastri,BR-AL-Allettamento-01,596297,1
Pilastri,BR-PI-Piastra-01,596298,1
Pilastri,BR-TI-Tirafondo-01,596299,1
Pilastri,BR-AL-Allettamento-01,596300,1
Pilastri,BR-PI-Piastra-01,596301,1
Pilastri,BR-TI-Tirafondo-01,596302,1
Pilastri,BR-AL-Allettamento-01,596303,1
Pilastri,BR-PI-Piastra-01,596304,1
Pilastri,BR-TI-Tirafondo-01,596305,1
Pilastri,BR-AL-Allettamento-01,596306,1
Pilastri,BR-PI-Piastra-01,596307,1
Pilastri,BR-TI-Tirafondo-01,596308,1
Pilastri,BR-AL-Allettamento-01,596309,1
Pilastri,BR-PI-Piastra-01,596310,1
Pilastri,BR-TI-Tirafondo-01,596311,1
Pilastri,BR-AL-Allettamento-01,596312,1
Pilastri,BR-PI-Piastra-01,596313,1
Pilastri,BR-TI-Tirafondo-01,596314,1
Pilastri,BR-AL-Allettamento-01,596315,1
Pilastri,BR-PI-Piastra-01,596316,1
Pilastri,BR-TI-Tirafondo-01,596317,1
Pilastri,BR-AL-Allettamento-01,596318,1
Pilastri,BR-PI-Piastra-01,596319,1
Pilastri,BR-TI-Tirafondo-01,596320,1
Pilastri,BR-AL-Allettamento-01,596321,1
Pilastri,BR-PI-Piastra-01,596322,1
Pilastri,BR-TI-Tirafondo-01,596323,1
Pilastri,BR-AL-Allettamento-01,596324,1
Pilastri,BR-PI-Piastra-01,596325,1
Pilastri,BR-TI-Tirafondo-01,596326,1
Pilastri,BR-AL-Allettamento-01,596327,1
Pilastri,BR-PI-Piastra-01,596328,1
Pilastri,BR-TI-Tirafondo-01,596329,1
Pilastri,BR-AL-Allettamento-01,596330,1
Pilastri,BR-PI-Piastra-01,596331,1
Pilastri,BR-TI-Tirafondo-01,596332,1
Pilastri,BR-AL-Allettamento-01,596333,1
Pilastri,BR-PI-Piastra-01,596334,1
Pilastri,BR-TI-Tirafondo-01,596335,1
Pilastri,BR-AL-Allettamento-01,596336,1
Pilastri,BR-PI-Piastra-01,596337,1
Pilastri,BR-TI-Tirafondo-01,596338,1
Pilastri,BR-AL-Allettamento-01,596339,1
Pilastri,BR-PI-Piastra-01,596340,1
Pilastri,BR-TI-Tirafondo-01,596341,1
Pilastri,BR-AL-Allettamento-01,596342,1
Pilastri,BR-PI-Piastra-01,596343,1
Pilastri,BR-TI-Tirafondo-01,596344,1
Pilastri,BR-AL-Allettamento-01,596345,1
Pilastri,BR-PI-Piastra-01,596346,1
Pilastri,BR-TI-Tirafondo-01,596347,1
Pilastri,BR-AL-Allettamento-01,596348,1
Pilastri,BR-PI-Piastra-01,596349,1
Pilastri,BR-TI-Tirafondo-01,596350,1
Pilastri,BR-AL-Allettamento-01,596351,1
Pilastri,BR-PI-Piastra-01,596352,1
Pilastri,BR-TI-Tirafondo-01,596353,1
Pilastri,BR-AL-Allettamento-01,596354,1
Pilastri,BR-PI-Piastra-01,596355,1
Pilastri,BR-TI-Tirafondo-01,596356,1
Pilastri,BR-AL-Allettamento-01,596357,1
Pilastri,BR-PI-Piastra-01,596358,1
Pilastri,BR-TI-Tirafondo-01,596359,1
Pilastri,BR-AL-Allettamento-01,596360,1
Pilastri,BR-PI-Piastra-01,596361,1
Pilastri,BR-TI-Tirafondo-01,596362,1
Pilastri,BR-AL-Allettamento-01,596363,1
Pilastri,BR-PI-Piastra-01,596364,1
Pilastri,BR-TI-Tirafondo-01,596365,1
Pilastri,BR-AL-Allettamento-01,596366,1
Pilastri,BR-PI-Piastra-01,596367,1
Pilastri,BR-TI-Tirafondo-01,596368,1
Pilastri,BR-AL-Allettamento-01,596369,1
Pilastri,BR-PI-Piastra-01,596375,1
Pilastri,BR-TI-Tirafondo-01,596376,1
Pilastri,BR-AL-Allettamento-01,596377,1
Pilastri,BR-PI-Piastra-01,596378,1
Pilastri,BR-TI-Tirafondo-01,596379,1
Pilastri,BR-AL-Allettamento-01,596380,1
Pilastri,BR-PI-Piastra-01,596381,1
Pilastri,BR-TI-Tirafondo-01,596382,1
Pilastri,BR-AL-Allettamento-01,596383,1
Pilastri,BR-PI-Piastra-01,596384,1
Pilastri,BR-TI-Tirafondo-01,596385,1
Pilastri,BR-AL-Allettamento-01,596386,1
Pilastri,BR-PI-Piastra-01,596387,1
Pilastri,BR-TI-Tirafondo-01,596388,1
Pilastri,BR-AL-Allettamento-01,596389,1
Pilastri,BR-PI-Piastra-01,596390,1
Pilastri,BR-TI-Tirafondo-01,596391,1
Pilastri,BR-AL-Allettamento-01,596392,1
Pilastri,BR-PI-Piastra-01,596393,1
Pilastri,BR-TI-Tirafondo-01,596394,1
Pilastri,BR-AL-Allettamento-01,596395,1
Pilastri,BR-PI-Piastra-01,596396,1
Pilastri,BR-TI-Tirafondo-01,596397,1
Pilastri,BR-AL-Allettamento-01,596398,1
Pilastri,BR-PI-Piastra-01,596399,1
Pilastri,BR-TI-Tirafondo-01,596400,1
Pilastri,BR-AL-Allettamento-01,596401,1
Pilastri,BR-PI-Piastra-01,596407,1
Pilastri,BR-TI-Tirafondo-01,596408,1
Pilastri,BR-AL-Allettamento-01,596409,1
Pilastri,BR-PI-Piastra-01,596410,1
Pilastri,BR-TI-Tirafondo-01,596411,1
Pilastri,BR-AL-Allettamento-01,596412,1
Pilastri,BR-PI-Piastra-01,596416,1
Pilastri,BR-TI-Tirafondo-01,596417,1
Pilastri,BR-AL-Allettamento-01,596418,1
Pilastri,BR-PI-Piastra-01,596419,1
Pilastri,BR-TI-Tirafondo-01,596420,1
Pilastri,BR-AL-Allettamento-01,596421,1
Pilastri,BR-PI-Piastra-01,596422,1
Pilastri,BR-TI-Tirafondo-01,596423,1
Pilastri,BR-AL-Allettamento-01,596424,1
Pilastri,BR-PI-Piastra-01,596425,1
Pilastri,BR-TI-Tirafondo-01,596426,1
Pilastri,BR-AL-Allettamento-01,596427,1
Pilastri,BR-PI-Piastra-01,596428,1
Pilastri,BR-TI-Tirafondo-01,596429,1
Pilastri,BR-AL-Allettamento-01,596430,1
Pilastri,BR-PI-Piastra-01,596431,1
Pilastri,BR-TI-Tirafondo-01,596432,1
Pilastri,BR-AL-Allettamento-01,596433,1
Pilastri,BR-PI-Piastra-01,596434,1
Pilastri,BR-TI-Tirafondo-01,596435,1
Pilastri,BR-AL-Allettamento-01,596436,1
Pilastri,BR-PI-Piastra-01,596437,1
Pilastri,BR-TI-Tirafondo-01,596438,1
Pilastri,BR-AL-Allettamento-01,596439,1
Pilastri,BR-PI-Piastra-01,596440,1
Pilastri,BR-TI-Tirafondo-01,596441,1
Pilastri,BR-AL-Allettamento-01,596442,1
Pilastri,BR-PI-Piastra-01,596443,1
Pilastri,BR-TI-Tirafondo-01,596444,1
Pilastri,BR-AL-Allettamento-01,596445,1
Pilastri,BR-PI-Piastra-01,596446,1
Pilastri,BR-TI-Tirafondo-01,596447,1
Pilastri,BR-AL-Allettamento-01,596448,1
Pilastri,BR-PI-Piastra-01,596449,1
Pilastri,BR-TI-Tirafondo-01,596450,1
Pilastri,BR-AL-Allettamento-01,596451,1
Pilastri,BR-PI-Piastra-01,596452,1
Pilastri,BR-TI-Tirafondo-01,596453,1
Pilastri,BR-AL-Allettamento-01,596454,1
Pilastri,BR-PI-Piastra-01,596455,1
Pilastri,BR-TI-Tirafondo-01,596456,1
Pilastri,BR-AL-Allettamento-01,596457,1
Pilastri,BR-PI-Piastra-01,596458,1
Pilastri,BR-TI-Tirafondo-01,596459,1
Pilastri,BR-AL-Allettamento-01,596460,1
Pilastri,BR-PI-Piastra-01,596461,1
Pilastri,BR-TI-Tirafondo-01,596462,1
Pilastri,BR-AL-Allettamento-01,596463,1
Pilastri,BR-PI-Piastra-01,596464,1
Pilastri,BR-TI-Tirafondo-01,596465,1
Pilastri,BR-AL-Allettamento-01,596466,1
Pilastri,BR-PI-Piastra-01,596467,1
Pilastri,BR-TI-Tirafondo-01,596468,1
Pilastri,BR-AL-Allettamento-01,596469,1
Pilastri,BR-PI-Piastra-01,596470,1
Pilastri,BR-TI-Tirafondo-01,596471,1
Pilastri,BR-AL-Allettamento-01,596472,1
Pilastri,BR-PI-Piastra-01,596473,1
Pilastri,BR-TI-Tirafondo-01,596474,1
Pilastri,BR-AL-Allettamento-01,596475,1
Pilastri,BR-PI-Piastra-01,596476,1
Pilastri,BR-TI-Tirafondo-01,596477,1
Pilastri,BR-AL-Allettamento-01,596478,1
Pilastri,BR-PI-Piastra-01,596479,1
Pilastri,BR-TI-Tirafondo-01,596480,1
Pilastri,BR-AL-Allettamento-01,596481,1
Pilastri,BR-PI-Piastra-01,596482,1
Pilastri,BR-TI-Tirafondo-01,596483,1
Pilastri,BR-AL-Allettamento-01,596484,1
Pilastri,BR-PI-Piastra-01,596485,1
Pilastri,BR-TI-Tirafondo-01,596486,1
Pilastri,BR-AL-Allettamento-01,596487,1
Pilastri,BR-PI-Piastra-01,596488,1
Pilastri,BR-TI-Tirafondo-01,596489,1
Pilastri,BR-AL-Allettamento-01,596490,1
Pilastri,BR-PI-Piastra-01,596491,1
Pilastri,BR-TI-Tirafondo-01,596492,1
Pilastri,BR-AL-Allettamento-01,596493,1
Pilastri,BR-PI-Piastra-01,596494,1
